Energy,AveragePower,PeakPower,PeakToPeak,PeakFrequency,Bandwidth,NoiseFloor,SNR,Label
5171.4166226148,0.51714166226148,2.06712270187056,2.87148711952665,-397700,10009.765625,1.03533736803459e-06,56.9852763794298,BPSK
5014.58932702239,0.501458932702239,1.27508620458424,2.21644298329031,-398600,3662.109375,1.00232982579924e-06,56.9922471836874,BPSK
5007.39697029691,0.500739697029691,1.21890408843631,2.20435253316383,-398800,6835.9375,1.00123399967005e-06,56.9907643337379,BPSK
5095.74292647496,0.509574292647496,1.7834401484807,2.64639567840101,-397100,8300.78125,1.01781066286986e-06,56.9954051394295,BPSK
5276.7485896151,0.52767485896151,2.40658190548185,2.96647983327727,-398800,6591.796875,1.05358662927558e-06,56.9969615223526,BPSK
5096.65018639149,0.509665018639149,1.68977955108576,2.59111313616393,-399200,9033.203125,1.01818298252366e-06,56.994589922327,BPSK
5051.53074671388,0.505153074671388,1.55849723290917,2.4617421615018,-399200,5126.953125,1.01023435791056e-06,56.9900086600176,BPSK
5028.96046666697,0.502896046666697,1.50237514284664,2.41075563008571,-398300,8300.78125,1.00446934854056e-06,56.9954153283021,BPSK
5113.76027264455,0.511376027264456,1.79927892722217,2.63885940730341,-398500,8544.921875,1.02209528076192e-06,56.9924898186921,BPSK
5016.08556050794,0.501608556050793,1.28350780276751,2.24082891596054,-398100,8544.921875,1.00301040149226e-06,56.9905949894886,BPSK
5037.14371376838,0.503714371376837,1.48476990958496,2.42090156214744,-400000,7324.21875,1.00661471634538e-06,56.9932106646916,BPSK
5305.0990478302,0.530509904783021,2.60755775588627,3.19519049781129,-401300,6835.9375,1.06306446183755e-06,56.9813389676237,BPSK
5276.28634990022,0.527628634990022,2.266485563467,2.98740590533671,-402000,5126.953125,1.05634348581381e-06,56.9852319867631,BPSK
5007.45515160878,0.500745515160878,1.29570854057299,2.25791130918379,-398700,6591.796875,1.00163737344402e-06,56.9890654758461,BPSK
